,market_cap
A,33624023040
AAPL,4250410418176
ABBV,362295590912
ABT,151450648576
ACGL,32987619328
ACN,110187503616
ADBE,103915773952
ADI,201550692352
ADM,37949255680
ADP,84647731200
ADSK,53030629376
AEE,29873014784
AEP,71560683520
AES,10226681856
AFL,57761361920
AIG,41210277888
AIZ,11741764608
AJG,51141734400
AKAM,17256011776
ALB,25952796672
ALGN,12454960128
ALL,54470270976
ALLE,11685558272
AMAT,334014513152
AMCR,18782158848
AMD,672459784192
AME,54357786624
AMGN,178264801280
AMP,42846154752
AMT,84126310400
AMZN,2942822514688
ANET,182239576064
AON,66771628032
AOS,8366886912
APA,12810765312
APD,66329894912
APH,166990495744
APO,74797580288
APTV,12098344960
ARE,8049506816
ARES,40719097856
ATO,30316687360
AVB,25979176960
AVGO,1975848140800
AVY,12930699264
AWK,24402253824
AXON,33841934336
AXP,220343681024
AZO,58237386752
BA,182547185664
BAC,380874031104
BALL,15641982976
BAX,9017547776
BBY,12479475712
BDX,43008516096
BEN,16077574144
BF-B,12618936320
BG,24104810496
BIIB,28281366528
BK,90904035328
BKNG,132380237824
BKR,63274139648
BLDR,8726472704
BLK,166423822336
BMY,115050299392
BR,17957105664
BRK-B,1021680091136
BRO,19547121664
BSX,85547171840
BX,151287447552
BXP,10649296896
C,222793269248
CAG,6779454464
CAH,44787183616
CASY,31366223872
CAT,416605437952
CB,124563210240
CBOE,35754962944
CBRE,42891771904
CCI,39770521600
CCL,38119043072
CDNS,99226189824
CDW,14513713152
CF,17827186688
CFG,27690311680
CHD,22339043328
CHRW,20006590464
CHTR,22433947648
CI,75188043776
CIEN,75064188928
CINF,24933955584
CL,69716492288
CLX,10989332480
CMCSA,94592614400
CME,104170455040
CMG,41611886592
CMI,96802783232
CMS,22739572736
CNC,27539058688
CNP,27511097344
COF,122672513024
COHR,61367500800
COO,11972219904
COP,141297745920
COR,49765814272
COST,443386363904
CPAY,20492650496
CPB,6252131840
CPRT,32574273536
CPT,10403025920
CRH,76689334272
CRL,9425547264
CRM,153417793536
CSCO,365641596928
CSGP,14308784128
CSX,83987881984
CTAS,68206845952
CTRA,24724652032
CTSH,24851421184
CVS,111057985536
CVX,359339491328
D,53976576000
DAL,48679997440
DD,20373090304
DE,158520573952
DECK,14883453952
DG,25308407808
DGX,20964796416
DHI,42091720704
DHR,125063069696
DIS,190651596800
DLR,69944475648
DLTR,18701428736
DOC,13203047424
DOV,30349987840
DPZ,10816925696
DRI,22069749760
DTE,29341353984
DUK,97055834112
DVA,12405677056
DVN,28011423744
DXCM,23360751616
EA,50247192576
