,target_-0.000513,target_-0.000249,target_0.000015,target_0.000279,target_0.000543,target_0.000807,target_0.001072,target_0.001336,target_0.001600,target_0.001864
IP,2.5380635175272917e-17,3.0553569320679896e-22,0.00010445177670520525,9.51131993084538e-25,8.860720729093708e-25,2.7907455842701277e-24,0.007630640637806773,0.0017381352776493142,0.07082836723859515,1.7684953753245504e-06
AMZN,1.0995105732303381e-05,0.0011394720018754012,6.088011343762684e-05,0.0020710037985643376,0.006376916855122532,0.016314568062409454,0.00038175100273148723,7.137139506820209e-37,5.982945193143959e-44,9.558731824416009e-06
ARE,4.34470190053908e-12,2.2310427557373544e-20,3.610931820810259e-21,8.920239873209144e-21,0.006644036005235021,1.7750358634962435e-08,6.297325569769971e-12,0.12905741965672654,2.135709246931793e-09,1.0468077792477456e-27
INCY,0.8257258429520037,0.55198469850976,2.135804600908345e-05,0.00041829328090908644,0.002833931853055327,0.009928871891408715,0.0028530315594405635,0.054737481813901055,3.8187924629976555e-06,1.19477723661487e-05
DE,2.886381611743806e-11,0.003463751286967607,6.705925604473231e-27,3.3187571621820735e-25,6.025442405544066e-11,1.0036860057555323e-17,7.200158908313913e-25,1.214169347468757e-19,5.8942237900067044e-30,4.7384155621019996e-24
HCA,6.153566581160617e-09,3.2715775080639253e-07,2.7185580241567785e-22,5.102354717007261e-09,1.7778473045778764e-25,0.001431085963866381,1.080535552107422e-20,3.4214867227342747e-19,4.386200079638722e-77,2.7148298438565223e-22
TGT,4.9661045684913246e-11,3.6399291960781266e-17,7.227372946494948e-23,2.4632620798296732e-24,7.229936990967319e-13,2.7907455842701277e-24,9.26862778337095e-25,2.4090638200692793e-25,1.7795446712655233e-31,5.140048990163081e-26
HSIC,5.247987168756317e-15,6.047845562876455e-12,1.622072471283262e-21,8.379054179596075e-05,2.2062617932515356e-25,8.197132447892708e-05,8.369961071007271e-18,3.539688014587177e-21,1.6499117807072806e-10,1.370643518031707e-23
XOM,0.014908185053125933,0.0025300067215516774,0.006166468084552908,7.401772352430711e-05,0.0009856440697583926,0.025892172231771902,0.001434217462363162,3.796351512719506e-24,3.9043966865734853e-10,8.556291970002122e-39
CBOE,3.4583082219065422e-15,0.00010991528546504693,1.5320412684324243e-05,0.017659061158016947,0.08350416101436477,0.08476185314493467,0.26924321665011275,0.005513612130812391,5.328879653047424e-12,0.0001540126172498783
